dt,block_hash,block_interval,pending_tx_count,day_tx_count,avg_tx_per_block,hashrate,block_height
"2021-12-01 20:53:44",00000000000000000007de5f2be66cd615e5fceed09a10b20ab07da944f54025,625.8101806641,26818,287127,970.9525146484,712158,2147483647
"2021-12-01 20:52:24",00000000000000000009397478b7822557ae15ee634d8a1045b63a30b6f10aff,625.8101806641,26818,287127,970.9525146484,712157,2147483647
"2021-12-01 20:44:30",00000000000000000009761f983a90fc43315d8c78ccaaf899305d5964ff67a6,620.3405761719,26818,290340,970.9520263672,712156,2147483647
"2021-12-01 20:34:18",0000000000000000000aab18e3b7caae41680cc7e21c3b0306b9d3e6d3cb2082,613.7338256836,28213,291106,970.9505004883,712155,2147483647
"2021-12-01 20:20:08",00000000000000000002e951bfb28aadd0a798dbee779d174f1862a784566f5d,616.7318725586,27262,289859,970.9500732422,712154,2147483647
"2021-12-01 20:16:48",00000000000000000000cfa0837431f2a5070b1dd54bf50b720ed0ae032e8670,615.6130981445,27262,287939,970.9487304688,712153,2147483647
"2021-12-01 20:03:58",000000000000000000036f7f5d6148040b4b3b9423248d4db49c03d3942f62b8,626.8455810547,27264,287254,970.9468994141,712152,2147483647
"2021-12-01 20:01:23",00000000000000000007658f4bb2ebc48dc2bcb492c52b4cdc6e10d43ab51bf9,626.8455810547,27264,287254,970.9468994141,712151,2147483647
"2021-12-01 19:51:43",0000000000000000000615e524f7b28f50d8d3f9e376e2667253b0d81b0b0ebf,621.3823852539,27264,287536,970.9447021484,712150,2147483647
"2021-12-01 19:27:09",00000000000000000002847927e51256d6c38705d52a866f929ac0cd74f2b474,627.3823852539,27477,287923,970.9423828125,712149,2147483647
"2021-12-01 19:13:50",00000000000000000000937cfad81e59755454bf31dd8ff6c060dbc5b234a249,624.9777832031,27011,285404,970.9401855469,712148,2147483647
"2021-12-01 18:57:58",00000000000000000001eaf1094f966d2b0b58fb9b91baa99f3d956b4348de9c,628.9556274414,26169,285742,970.9378051758,712147,2147483647
"2021-12-01 18:38:40",00000000000000000002f351082d111ce1f339be304557e8a4038099417cf677,623.6044921875,25595,282265,970.9343261719,712146,2147483647
"2021-12-01 18:16:14",000000000000000000059f34beb626c56ca0f62db494b8224bf6232adc421f85,636.5000000000,31731,282520,970.9334716797,712145,2147483647
"2021-12-01 18:11:09",0000000000000000000a16a4f25efe678709206d2147c8cbed9671bc9e068497,617.4818115234,31731,293166,970.9301147461,712144,2147483647
"2021-12-01 18:07:30",0000000000000000000bce50fa9538aa9ffcbb2950f4dda83795d56a9cae7058,614.1666870117,31731,295832,970.9301147461,712143,2147483647
"2021-12-01 17:42:34",0000000000000000000ac796edf4aa14a37fc8dedcd5d2384e6081369acd635d,623.5255126953,28622,294384,970.9255981445,712142,2147483647
"2021-12-01 17:41:59",00000000000000000005a3ede489dc467376359278ee22db7117b75678deb153,620.9202880859,28622,296261,970.9255981445,712141,2147483647
"2021-12-01 17:35:20",00000000000000000007aede6bdbdbaac580a0d9ca3cac48595da5c2c1ba9d97,620.9202880859,28622,296261,970.9255981445,712140,2147483647
"2021-12-01 17:31:06",0000000000000000000732f18d4bd0ae4fc3d64bb8e1d104c4814ee18f5dcf9a,605.0869750977,28622,295624,970.9193725586,712139,2147483647
"2021-12-01 17:30:49",0000000000000000000b477bc1b669a47695edf7ebbbee89981dbf4a2628f236,605.0869750977,28622,295624,970.9193725586,712138,2147483647
"2021-12-01 16:44:41",00000000000000000008d0cd3571eacfb6655f4c0097b968a24b1070cc62adcd,613.5755004883,24490,297739,970.9133911133,712137,2147483647
"2021-12-01 16:41:16",000000000000000000024295d77e94e3d841453e283de6bca4019384f7856ac5,613.5755004883,24490,297739,970.9133911133,712136,2147483647
"2021-12-01 16:34:10",0000000000000000000b8cf946060f84ff485c13316dd363505af8487ec39168,600.0000000000,24490,294620,970.9104003906,712135,2147483647
"2021-12-01 15:52:43",00000000000000000009cafaec9c7e8190dbbe022aea1ce670dadbf2be6a0468,617.5217285156,32194,297963,970.9066162109,712134,2147483647
"2021-12-01 15:44:54",000000000000000000040cbcb1129c1ca7c0909471725b2713c0fb7f4ca0fd7b,617.5217285156,32194,297963,970.9066162109,712133,2147483647
"2021-12-01 15:44:16",000000000000000000034d4f6165de4ad7ed6d18807fd0ef91628bcc4e1bccce,617.5217285156,32194,297963,970.9066162109,712132,2147483647
"2021-12-01 15:30:47",00000000000000000007cde9fe049e867a380deb2e2102b63d6f95077fd244bb,628.1641845703,35627,286631,970.8961181641,712130,2147483647
"2021-12-01 15:27:14",0000000000000000000254329b968d3d7a728733f4da7875baedd11e204a74f7,628.1641845703,35627,286631,970.8961181641,712129,2147483647
