dt,neg,neu,pos,compound,volume
"2021-12-01 20:53:00",0.0259811319,0.8486250043,0.1253938675,0.2810554206,424
"2021-12-01 20:52:00",0.0251147542,0.8600327969,0.1148430929,0.2361796200,427
"2021-12-01 20:51:00",0.0264148153,0.8499407172,0.1236395091,0.2794538140,405
"2021-12-01 20:50:00",0.0253093019,0.8553860188,0.1193046495,0.2760304511,430
"2021-12-01 20:49:00",0.0235397201,0.8479626179,0.1285046786,0.2838707864,428
"2021-12-01 20:48:00",0.0293078702,0.8359050751,0.1347962916,0.2945284843,432
"2021-12-01 20:47:00",0.0275934581,0.8569930196,0.1154112145,0.2390086502,428
"2021-12-01 20:46:01",0.0297315922,0.8445605636,0.1257007122,0.2695185244,421
"2021-12-01 20:45:00",0.0287708770,0.8314389586,0.1397901475,0.3006783724,467
"2021-12-01 20:44:00",0.0260334071,0.8502717018,0.1236815155,0.2879877388,449
"2021-12-01 20:43:00",0.0270182230,0.8473507762,0.1256241500,0.2839236856,439
"2021-12-01 20:42:00",0.0275842454,0.8516892791,0.1207067817,0.2826551497,457
"2021-12-01 20:41:01",0.0212383289,0.8656069040,0.1131547913,0.2699992657,407
"2021-12-01 20:40:00",0.0273377188,0.8454408050,0.1272193044,0.2673122883,456
"2021-12-01 20:39:00",0.0284470040,0.8371866345,0.1343686581,0.3018281162,434
"2021-12-01 20:38:00",0.0290544219,0.8399047852,0.1310408115,0.3098913729,441
"2021-12-01 20:37:00",0.0256188344,0.8408408165,0.1335336268,0.3109838665,446
"2021-12-01 20:36:00",0.0275686700,0.8393605351,0.1330729574,0.2970117927,466
"2021-12-01 20:35:01",0.0315150917,0.8337001801,0.1347967833,0.2950762510,497
"2021-12-01 20:34:00",0.0309955943,0.8358458281,0.1331541836,0.3132171929,454
"2021-12-01 20:33:00",0.0258755106,0.8472244740,0.1269102097,0.3007416427,490
"2021-12-01 20:32:00",0.0268082470,0.8617959023,0.1113917530,0.2697870135,485
"2021-12-01 20:31:00",0.0268397685,0.8534903526,0.1196698844,0.2848088741,518
"2021-12-01 20:30:00",0.0171291940,0.8749429584,0.1079161093,0.2976016700,596
"2021-12-01 20:29:00",0.0230476186,0.8668095469,0.1101320311,0.2373266220,462
"2021-12-01 20:28:00",0.0249488745,0.8533374071,0.1217198372,0.2770128846,489
"2021-12-01 20:27:01",0.0322172940,0.8487716317,0.1190199554,0.2326319218,451
"2021-12-01 20:26:01",0.0293467343,0.8724522591,0.0981934667,0.2076987475,398
"2021-12-01 20:25:00",0.0294061806,0.8449072838,0.1257218570,0.2679847777,453
"2021-12-01 20:24:00",0.0259185750,0.8547684550,0.1193129793,0.2622081339,393
"2021-12-01 20:23:00",0.0240534879,0.8604767323,0.1154744178,0.2627462745,430
"2021-12-01 20:22:00",0.0276477020,0.8547943234,0.1175536141,0.2294345796,457
"2021-12-01 20:21:00",0.0233353171,0.8575555682,0.1191091239,0.2681319416,504
"2021-12-01 20:20:00",0.0261569042,0.8532029390,0.1206338927,0.2651554346,478
"2021-12-01 20:19:01",0.0279390588,0.8453933597,0.1266620457,0.2747412622,361
"2021-12-01 20:18:01",0.0207524505,0.8415269852,0.1377083361,0.3298671544,408
"2021-12-01 20:17:01",0.0238152705,0.8423054218,0.1338743865,0.3010027111,406
"2021-12-01 20:16:01",0.0277439021,0.8474414349,0.1248121932,0.2831351161,410
"2021-12-01 20:15:00",0.0332888886,0.8338510990,0.1328622252,0.2773104310,450
"2021-12-01 20:14:00",0.0318039693,0.8543151617,0.1138709709,0.2469191104,403
"2021-12-01 20:13:01",0.0272599012,0.8441336751,0.1285990030,0.2923353910,404
"2021-12-01 20:12:00",0.0320973881,0.8499216437,0.1179714948,0.2612263560,421
"2021-12-01 20:11:01",0.0339718983,0.8355339766,0.1304824352,0.2644700110,427
"2021-12-01 20:10:00",0.0261184834,0.8459715843,0.1279170662,0.2935360074,422
"2021-12-01 20:09:01",0.0333009958,0.8524129391,0.1142810956,0.2023935318,402
"2021-12-01 20:08:00",0.0259648655,0.8522999883,0.1217189208,0.2569559515,370
"2021-12-01 20:07:00",0.0279135797,0.8480913639,0.1239802465,0.2745518386,405
"2021-12-01 20:06:00",0.0223868415,0.8225894570,0.1550184190,0.3629626334,380
"2021-12-01 20:05:01",0.0281165056,0.8469902873,0.1248859242,0.2717415094,412
"2021-12-01 20:04:00",0.0305116884,0.8441610336,0.1253246814,0.2551877797,385
"2021-12-01 20:03:01",0.0227461141,0.8628575206,0.1143886000,0.2667290270,386
"2021-12-01 20:02:01",0.0218143854,0.8578028083,0.1203735471,0.2575930357,431
"2021-12-01 20:01:00",0.0279647894,0.8451690078,0.1268450767,0.2587335706,426
"2021-12-01 20:00:01",0.0323657393,0.8567106724,0.1109189838,0.2355777770,432
"2021-12-01 19:59:00",0.0305139665,0.8414329886,0.1280446947,0.2801080942,358
"2021-12-01 19:58:00",0.0323521495,0.8246962428,0.1429596841,0.3066889644,372
"2021-12-01 19:57:00",0.0235864669,0.8465238214,0.1298947334,0.2930456102,399
"2021-12-01 19:56:00",0.0348696895,0.8489263654,0.1161983013,0.2115937620,353
"2021-12-01 19:55:00",0.0274629630,0.8430308700,0.1294938326,0.2720228434,324
"2021-12-01 19:54:01",0.0313451774,0.8442716002,0.1243883222,0.2563977242,394
"2021-12-01 19:53:01",0.0278579537,0.8331761360,0.1389517039,0.2791502774,352
"2021-12-01 19:52:01",0.0288129877,0.8312129974,0.1399766207,0.2647018135,385
"2021-12-01 19:51:01",0.0273546800,0.8263300657,0.1463103443,0.3327197134,406
"2021-12-01 19:50:00",0.0375281163,0.8374351859,0.1250440031,0.2568415701,409
"2021-12-01 19:49:00",0.0266075656,0.8535342813,0.1198723391,0.2764565051,423
"2021-12-01 19:48:00",0.0343358032,0.8383777738,0.1272790134,0.2520064116,405
"2021-12-01 19:47:01",0.0349002443,0.8540121913,0.1110875905,0.2196362466,411
"2021-12-01 19:46:00",0.0242743585,0.8492384553,0.1265025586,0.2908343673,390
"2021-12-01 19:45:01",0.0258605778,0.8624446988,0.1116826907,0.2445906252,416
"2021-12-01 19:44:01",0.0278218836,0.8409745693,0.1312010139,0.2685012817,393
"2021-12-01 19:43:00",0.0247219242,0.8515534997,0.1237299442,0.2613973320,374
"2021-12-01 19:42:01",0.0201188810,0.8455617428,0.1343170106,0.3101302981,429
"2021-12-01 19:41:00",0.0240753777,0.8424045444,0.1335150748,0.2919869423,398
"2021-12-01 19:40:00",0.0233364273,0.8441879153,0.1324872375,0.2907603383,431
"2021-12-01 19:39:00",0.0251006708,0.8301521540,0.1447561532,0.3250319958,447
"2021-12-01 19:38:00",0.0264494382,0.8362696767,0.1372831464,0.3034532666,445
"2021-12-01 19:37:00",0.0262958426,0.8408532739,0.1328557432,0.3001056314,409
"2021-12-01 19:36:01",0.0300172847,0.8351926208,0.1347975284,0.2938029766,405
"2021-12-01 19:35:00",0.0173248723,0.8503756523,0.1323045641,0.3408812284,394
"2021-12-01 19:34:00",0.0250955056,0.8513876200,0.1235224754,0.2736963630,356
"2021-12-01 19:33:00",0.0272428207,0.8376553655,0.1350992173,0.2738979161,383
"2021-12-01 19:32:01",0.0273138303,0.8420239091,0.1306648999,0.2786795199,376
"2021-12-01 19:31:00",0.0304241702,0.8513886333,0.1181848347,0.2499011904,422
"2021-12-01 19:30:01",0.0315821916,0.8383995295,0.1300342530,0.2795292139,438
"2021-12-01 19:29:00",0.0284687504,0.8428701758,0.1286802888,0.2841533720,416
"2021-12-01 19:28:00",0.0273433868,0.8329303861,0.1397401392,0.2955811918,431
"2021-12-01 19:27:01",0.0247772727,0.8418522477,0.1333681792,0.2867274880,440
"2021-12-01 19:26:00",0.0237871390,0.8561840057,0.1200221702,0.2485660762,451
"2021-12-01 19:25:00",0.0226868484,0.8494175076,0.1278956085,0.3122876883,479
"2021-12-01 19:24:00",0.0219222214,0.8401444554,0.1379444450,0.3088177741,450
"2021-12-01 19:23:00",0.0288419761,0.8337185383,0.1374444515,0.3248128295,405
"2021-12-01 19:22:01",0.0318567902,0.8366419673,0.1315061748,0.2756123543,405
"2021-12-01 19:21:00",0.0206355359,0.8508792520,0.1284897476,0.2951640189,439
"2021-12-01 19:20:01",0.0199756101,0.8539341688,0.1260926872,0.3025609851,410
"2021-12-01 19:19:00",0.0280000009,0.8526063561,0.1193914041,0.2603789568,442
"2021-12-01 19:18:00",0.0353657417,0.8368148208,0.1278148144,0.2353574038,432
"2021-12-01 19:17:00",0.0296725668,0.8465552926,0.1237743348,0.2404730022,452
"2021-12-01 19:16:00",0.0286496822,0.8366666436,0.1346709132,0.2855862081,471
"2021-12-01 19:15:01",0.0240816325,0.8504036069,0.1255147457,0.2672442198,441
"2021-12-01 19:14:00",0.0247419346,0.8601910472,0.1150570735,0.2741898298,403
"2021-12-01 19:13:00",0.0240299534,0.8577580452,0.1182212010,0.2777287960,434
"2021-12-01 19:12:00",0.0258750003,0.8472744823,0.1268602908,0.3035970628,408
"2021-12-01 19:11:00",0.0353294127,0.8469552994,0.1177223548,0.2347611785,425
"2021-12-01 19:10:00",0.0245144926,0.8632535934,0.1122294664,0.2720326185,414
"2021-12-01 19:09:00",0.0251468346,0.8628633022,0.1119772121,0.2575726509,395
"2021-12-01 19:08:23",0.0300748944,0.8548048735,0.1151075959,0.2353509516,948
"2021-12-01 19:06:01",0.0267049801,0.8389578462,0.1343601495,0.2952333391,261
"2021-12-01 19:05:00",0.0359854028,0.8332943916,0.1307347864,0.2685771286,411
"2021-12-01 19:04:00",0.0232850574,0.8638942242,0.1128298864,0.2485967875,435
"2021-12-01 19:03:01",0.0291370191,0.8589543104,0.1119350940,0.2531507313,416
"2021-12-01 19:02:00",0.0264508538,0.8631816506,0.1103760675,0.2428273559,468
"2021-12-01 19:01:00",0.0265395530,0.8652596474,0.1082089245,0.2361026406,493
"2021-12-01 19:00:01",0.0210897829,0.8933560252,0.0855526328,0.1991905570,646
"2021-12-01 18:59:01",0.0274759363,0.8499197960,0.1226069555,0.2863336802,374
"2021-12-01 18:58:01",0.0355272293,0.8401534557,0.1243366301,0.2543205321,404
"2021-12-01 18:57:01",0.0312817544,0.8512609601,0.1174641997,0.2569642067,433
"2021-12-01 18:56:01",0.0246249996,0.8473865986,0.1279953718,0.3026391268,432
"2021-12-01 18:55:01",0.0301333331,0.8493000269,0.1205833331,0.2781668901,420
"2021-12-01 18:54:00",0.0289346240,0.8482179046,0.1228644103,0.2798014581,413
"2021-12-01 18:53:01",0.0413120203,0.8287160993,0.1299948841,0.2927020490,391
"2021-12-01 18:52:01",0.0422328040,0.8435608745,0.1142539680,0.2094399482,378
"2021-12-01 18:51:00",0.0296658594,0.8449806571,0.1253680438,0.2670404315,413
"2021-12-01 18:50:01",0.0268677678,0.8464325070,0.1267052293,0.2980848551,363
"2021-12-01 18:49:01",0.0336188003,0.8396762609,0.1266762465,0.2718984187,383
"2021-12-01 18:48:00",0.0338520296,0.8444415331,0.1216945127,0.2847923636,419
"2021-12-01 18:47:00",0.0335949361,0.8352510333,0.1311561167,0.3018284738,474
"2021-12-01 18:46:00",0.0284939762,0.8461036086,0.1253903657,0.2852874696,415
"2021-12-01 18:45:00",0.0313086957,0.8422565460,0.1264195591,0.2739656568,460
"2021-12-01 18:44:01",0.0259250589,0.8414004445,0.1326838434,0.2833967209,427
"2021-12-01 18:43:00",0.0378341116,0.8280560970,0.1340981275,0.2685114443,428
"2021-12-01 18:42:00",0.0374923088,0.8440088034,0.1184879094,0.2199942917,455
"2021-12-01 18:41:00",0.0402210318,0.8386759758,0.1211072952,0.2263364792,466
"2021-12-01 18:40:00",0.0383733027,0.8346832395,0.1269615442,0.2387343943,442
"2021-12-01 18:39:00",0.0261951219,0.8367317319,0.1370707303,0.2890309691,410
"2021-12-01 18:38:00",0.0260498803,0.8551092744,0.1188337281,0.2697961926,421
"2021-12-01 18:37:01",0.0212144479,0.8367539644,0.1420361102,0.3356523812,443
"2021-12-01 18:36:01",0.0308507457,0.8382984996,0.1308763325,0.3091759086,469
"2021-12-01 18:35:01",0.0313034467,0.8396574855,0.1290505677,0.2587811351,435
"2021-12-01 18:34:00",0.0296819229,0.8438970447,0.1264347881,0.2736059427,437
"2021-12-01 18:33:00",0.0352206565,0.8538967371,0.1108849794,0.2628734708,426
"2021-12-01 18:32:00",0.0331346169,0.8370320797,0.1298397481,0.2430499941,468
"2021-12-01 18:31:00",0.0307893455,0.8384793997,0.1307360828,0.2710639238,413
"2021-12-01 18:30:00",0.0386833660,0.8306493163,0.1306793541,0.2545955777,499
"2021-12-01 18:29:00",0.0309130438,0.8360434771,0.1330411881,0.3050414324,437
"2021-12-01 18:28:01",0.0333783776,0.8387002349,0.1279262900,0.2649339139,407
"2021-12-01 18:27:01",0.0227660090,0.8518029451,0.1254261136,0.2856773436,406
"2021-12-01 18:26:01",0.0364376530,0.8474498987,0.1160978004,0.2415865511,409
"2021-12-01 18:25:00",0.0346913598,0.8515534997,0.1137633771,0.2460868359,486
"2021-12-01 18:24:00",0.0351418108,0.8379046321,0.1269731075,0.2840207815,409
"2021-12-01 18:23:00",0.0321811177,0.8611946106,0.1066396907,0.2453851700,519
"2021-12-01 18:22:00",0.0271769036,0.8557149768,0.1171081066,0.2559049129,407
"2021-12-01 18:21:00",0.0295112114,0.8541188240,0.1163721979,0.2486576289,446
"2021-12-01 18:20:00",0.0325521752,0.8612282872,0.1062260866,0.2229360938,460
"2021-12-01 18:19:01",0.0323646516,0.8567852378,0.1108433977,0.2396868020,447
"2021-12-01 18:18:00",0.0360736623,0.8384977579,0.1254352629,0.2789549232,448
"2021-12-01 18:17:00",0.0360428207,0.8487607241,0.1152115837,0.2316790968,397
"2021-12-01 18:16:00",0.0264023896,0.8556712866,0.1179322675,0.2619982064,502
"2021-12-01 18:15:00",0.0354035869,0.8469058275,0.1176928282,0.2531352043,446
"2021-12-01 18:14:00",0.0382699519,0.8439788818,0.1177699566,0.2437173724,426
"2021-12-01 18:13:01",0.0352363624,0.8331227303,0.1316568255,0.3055588603,440
"2021-12-01 18:12:00",0.0379621387,0.8289309740,0.1331046820,0.2796817422,449
"2021-12-01 18:11:00",0.0367579609,0.8388088942,0.1244352460,0.2749450207,471
"2021-12-01 18:10:00",0.0327866375,0.8533620834,0.1138685346,0.2663685381,464
"2021-12-01 18:09:00",0.0331399068,0.8436972499,0.1231857762,0.2755272985,436
"2021-12-01 18:08:00",0.0400254056,0.8388336897,0.1211224049,0.2746332586,433
"2021-12-01 18:07:00",0.0377315916,0.8450237513,0.1172422767,0.2732660472,421
"2021-12-01 18:06:00",0.0387330428,0.8269059062,0.1343632340,0.3402417898,457
"2021-12-01 18:05:00",0.0397247076,0.8451105952,0.1151552945,0.2552242279,425
"2021-12-01 18:04:00",0.0379717648,0.8422753215,0.1197811738,0.2557849288,425
"2021-12-01 18:03:00",0.0278875884,0.8533512950,0.1187517568,0.2705046833,427
"2021-12-01 18:02:00",0.0308891572,0.8456987739,0.1234048158,0.2569173574,415
"2021-12-01 18:01:00",0.0318411626,0.8604205847,0.1077293083,0.2135753930,447
"2021-12-01 18:00:00",0.0313023254,0.8566469550,0.1120338291,0.2491555959,473
"2021-12-01 17:59:01",0.0295422878,0.8413233757,0.1291343272,0.2742492557,402
