dt,neg,neu,pos,compound,volume
"2021-11-29 23:10:08",0.0251507349,0.8460882306,0.1287499964,0.3040948510,272
"2021-11-29 23:11:00",0.0330552161,0.8315429688,0.1353957057,0.2762153447,326
"2021-11-29 23:12:00",0.0301503949,0.8597440720,0.1101108193,0.2264934033,379
"2021-11-29 23:13:00",0.0289937109,0.8460565805,0.1249339655,0.2623201311,318
"2021-11-29 23:14:00",0.0342091508,0.8360294104,0.1297679693,0.2571813762,306
"2021-11-29 23:15:00",0.0243935864,0.8386996984,0.1369212866,0.2823256552,343
"2021-11-29 23:16:01",0.0299110431,0.8473957181,0.1226779148,0.2305665612,326
"2021-11-29 23:17:00",0.0336137712,0.8393323421,0.1270568818,0.2651170790,334
"2021-11-29 23:18:00",0.0263625383,0.8452900052,0.1283685863,0.2774743140,331
"2021-11-29 23:19:00",0.0326401107,0.8596044183,0.1077719778,0.2134840637,364
"2021-11-29 23:20:00",0.0248364192,0.8561388850,0.1190277785,0.2598401308,324
"2021-11-29 23:21:00",0.0264017601,0.8562844396,0.1173137799,0.2561785877,341
"2021-11-29 23:22:00",0.0291356929,0.8402124047,0.1306460202,0.2715973556,339
"2021-11-29 23:23:00",0.0255636852,0.8476991653,0.1267289966,0.2918433547,369
"2021-11-29 23:24:00",0.0238291454,0.8569748998,0.1191834137,0.2859502435,398
"2021-11-29 23:25:00",0.0319562517,0.8495030999,0.1185437515,0.2675171793,320
"2021-11-29 23:26:00",0.0311987586,0.8451242447,0.1236801222,0.2416298091,322
"2021-11-29 23:27:00",0.0217546020,0.8457944989,0.1324447840,0.2801122665,326
"2021-11-29 23:28:00",0.0293942038,0.8465420008,0.1240579709,0.2496081144,345
"2021-11-29 23:29:00",0.0313929841,0.8417263031,0.1268666685,0.2751964927,285
"2021-11-29 23:30:00",0.0267513096,0.8521518111,0.1210759133,0.2577934563,382
"2021-11-29 23:31:00",0.0314729735,0.8400973082,0.1284351349,0.2490694523,370
"2021-11-29 23:32:00",0.0311314277,0.8519743085,0.1169028580,0.2131700069,350
"2021-11-29 23:33:00",0.0274339076,0.8465114832,0.1260517240,0.2641744316,348
"2021-11-29 23:34:00",0.0357023403,0.8438261151,0.1204849482,0.2388033420,299
"2021-11-29 23:35:00",0.0376511626,0.8494796753,0.1128662825,0.2257154137,344
"2021-11-29 23:36:00",0.0244423673,0.8522149324,0.1233613715,0.2781227529,321
"2021-11-29 23:37:00",0.0313389339,0.8581680655,0.1104929969,0.2132165283,357
"2021-11-29 23:38:00",0.0238921288,0.8494898081,0.1266239136,0.2807140052,343
"2021-11-29 23:39:00",0.0249118544,0.8506018519,0.1245136783,0.2678775191,329
"2021-11-29 23:40:00",0.0304553565,0.8379880786,0.1315863132,0.2811952233,336
"2021-11-29 23:41:00",0.0271249991,0.8499782681,0.1229021773,0.2743211985,368
"2021-11-29 23:42:00",0.0308908559,0.8456991315,0.1233952790,0.2795006037,339
"2021-11-29 23:43:00",0.0228966475,0.8614553213,0.1156452522,0.2679041922,358
"2021-11-29 23:44:00",0.0231606644,0.8406177163,0.1362077594,0.2979221642,361
"2021-11-29 23:45:00",0.0303102490,0.8340830803,0.1356288046,0.2997337878,361
"2021-11-29 23:46:00",0.0220028572,0.8421400189,0.1358714253,0.3296777010,350
"2021-11-29 23:47:00",0.0206819400,0.8511105180,0.1282048523,0.3069167137,371
"2021-11-29 23:48:00",0.0243908353,0.8436657786,0.1319568753,0.3221741319,371
"2021-11-29 23:49:00",0.0268163271,0.8510932922,0.1220787168,0.2694224417,343
"2021-11-29 23:50:00",0.0317033641,0.8306666613,0.1376177371,0.2750734091,327
"2021-11-29 23:51:00",0.0217551012,0.8391122222,0.1391428560,0.3376584947,294
"2021-11-29 23:52:00",0.0310339499,0.8479567766,0.1209969148,0.2644015551,324
"2021-11-29 23:53:00",0.0316548385,0.8435483575,0.1247999966,0.2664677501,310
"2021-11-29 23:54:00",0.0301024932,0.8365900517,0.1333157867,0.2860108018,361
"2021-11-29 23:55:00",0.0295718387,0.8329051733,0.1375229955,0.3095373511,348
"2021-11-29 23:56:00",0.0417416431,0.8402765989,0.1179817617,0.2247465104,329
"2021-11-29 23:57:00",0.0354955755,0.8439586759,0.1205339208,0.2409410030,339
"2021-11-29 23:58:00",0.0278988089,0.8499583602,0.1221309528,0.2693101168,336
"2021-11-29 23:59:00",0.0332848839,0.8472965360,0.1194069758,0.2565485537,344
"2021-11-30 00:00:01",0.0366681814,0.8535272479,0.1098000035,0.2105713636,440
"2021-11-30 00:01:00",0.0367005803,0.8389040828,0.1243808120,0.2686671615,344
"2021-11-30 00:02:00",0.0376813896,0.8383659124,0.1239369065,0.2607930601,317
"2021-11-30 00:03:00",0.0374433957,0.8343113065,0.1282547116,0.2663742006,318
"2021-11-30 00:04:00",0.0346420109,0.8356420398,0.1297100633,0.2785621285,338
"2021-11-30 00:05:00",0.0200144239,0.8515216112,0.1284759641,0.3391661048,416
"2021-11-30 00:06:00",0.0290679149,0.8469203711,0.1240187362,0.3073927462,427
"2021-11-30 00:07:00",0.0373746566,0.8361487389,0.1264875978,0.2585881650,363
"2021-11-30 00:08:00",0.0270610470,0.8364680409,0.1364651173,0.3180299401,344
"2021-11-30 00:09:00",0.0280869566,0.8401406407,0.1317851692,0.2995097041,391
"2021-11-30 00:10:00",0.0290822275,0.8410212398,0.1299018562,0.3038877845,377
"2021-11-30 00:11:00",0.0227900259,0.8400603533,0.1371286064,0.3630992174,381
"2021-11-30 00:12:00",0.0282193739,0.8366609812,0.1351395994,0.3160279095,351
"2021-11-30 00:13:00",0.0294349026,0.8353130221,0.1352493018,0.3193357289,361
"2021-11-30 00:14:00",0.0269435905,0.8367205262,0.1363384575,0.3065261543,390
"2021-11-30 00:15:00",0.0301246606,0.8427777886,0.1271165311,0.2899008095,369
"2021-11-30 00:16:00",0.0283995159,0.8507457376,0.1208522990,0.2817580998,413
"2021-11-30 00:17:00",0.0329587646,0.8330644369,0.1339845359,0.2999783456,388
"2021-11-30 00:18:00",0.0284547880,0.8370664716,0.1344813854,0.3106566370,376
"2021-11-30 00:19:00",0.0305914283,0.8481256962,0.1212799996,0.2653928697,350
"2021-11-30 00:20:00",0.0393540375,0.8390496969,0.1215962768,0.2482146025,322
"2021-11-30 00:21:00",0.0300997142,0.8435014486,0.1263931692,0.2757772207,351
"2021-11-30 00:22:00",0.0299178082,0.8270650506,0.1430171281,0.3232479393,292
"2021-11-30 00:23:00",0.0379815772,0.8371000290,0.1249236837,0.2607881725,380
"2021-11-30 00:24:01",0.0285598077,0.8390167356,0.1324401945,0.2863198519,418
"2021-11-30 00:25:00",0.0328617282,0.8518221974,0.1153259277,0.2497419715,405
"2021-11-30 00:26:00",0.0262263156,0.8482131362,0.1255684197,0.2631642222,380
"2021-11-30 00:27:00",0.0260569099,0.8524281979,0.1215176135,0.2787607014,369
"2021-11-30 00:28:00",0.0292547420,0.8613089323,0.1094417349,0.2595989108,369
"2021-11-30 00:29:00",0.0238638744,0.8520131111,0.1241151839,0.3163607419,382
"2021-11-30 00:30:00",0.0242088884,0.8565066457,0.1192866638,0.2952253222,450
"2021-11-30 00:31:00",0.0296848640,0.8491439223,0.1211662516,0.2596513629,403
"2021-11-30 00:32:00",0.0235613082,0.8496484756,0.1268010885,0.2900204360,367
"2021-11-30 00:33:00",0.0245082881,0.8546629548,0.1208508313,0.2555618882,362
"2021-11-30 00:34:00",0.0290510748,0.8515188098,0.1194193512,0.2548500001,372
"2021-11-30 00:35:00",0.0234545451,0.8557327986,0.1208236888,0.2912768722,363
"2021-11-30 00:36:01",0.0285596810,0.8500185609,0.1213978752,0.2880721390,377
"2021-11-30 00:37:00",0.0246813186,0.8545659184,0.1207664832,0.2811771929,364
"2021-11-30 00:38:00",0.0267624017,0.8413916230,0.1318537891,0.3233441114,383
"2021-11-30 00:39:00",0.0268927608,0.8467506766,0.1263726503,0.2997152805,373
"2021-11-30 00:40:00",0.0308505744,0.8346207142,0.1345402300,0.3319922388,348
"2021-11-30 00:41:00",0.0274818949,0.8376350999,0.1348774433,0.3217779994,359
"2021-11-30 00:42:00",0.0218710601,0.8530974388,0.1250286549,0.3140750825,349
"2021-11-30 00:43:00",0.0337706432,0.8331528902,0.1330917478,0.2892529070,327
"2021-11-30 00:44:00",0.0384057984,0.8399507403,0.1216666698,0.2473968118,345
"2021-11-30 00:45:00",0.0257274993,0.8393175006,0.1349875033,0.3110572398,400
"2021-11-30 00:46:00",0.0335230343,0.8414281607,0.1250623316,0.2580899596,369
"2021-11-30 00:47:00",0.0360201150,0.8343074918,0.1296781600,0.2577451169,348
"2021-11-30 00:48:00",0.0236193035,0.8464718461,0.1299034804,0.3033273518,373
"2021-11-30 00:49:00",0.0434952378,0.8363142610,0.1202031747,0.2209336460,315
"2021-11-30 00:50:00",0.0465441607,0.8324985504,0.1209601164,0.2364655286,351
